"","n","std_dev","ula","lla","LoA_width","upper_95CI_bias","lower_95CI_bias","width_95CI_bias","ula_conf_u","ula_conf_l","ula_width","lla_conf_u","lla_conf_l","lla_width"
"61",19,1,1.96,-1.96,3.92,2.10092204024104,-2.10092204024104,4.20184408048208,2.79482176659111,1.12517823340889,1.66964353318222,-1.12517823340889,-2.79482176659111,1.66964353318222
"62",20,1,1.96,-1.96,3.92,2.09302405440831,-2.09302405440831,4.18604810881662,2.77062473059349,1.14937526940651,1.62124946118698,-1.14937526940651,-2.77062473059349,1.62124946118698
"63",21,1,1.96,-1.96,3.92,2.08596344726586,-2.08596344726586,4.17192689453173,2.74842007506235,1.17157992493765,1.57684015012471,-1.17157992493765,-2.74842007506235,1.57684015012471
"64",22,1,1.96,-1.96,3.92,2.07961384472768,-2.07961384472768,4.15922768945536,2.72794830642638,1.19205169357362,1.53589661285276,-1.19205169357362,-2.72794830642638,1.53589661285276
"65",23,1,1.96,-1.96,3.92,2.07387306790403,-2.07387306790403,4.14774613580805,2.70899493541368,1.21100506458632,1.49798987082736,-1.21100506458632,-2.70899493541368,1.49798987082736
"66",24,1,1.96,-1.96,3.92,2.06865761041905,-2.06865761041905,4.1373152208381,2.69138091214023,1.22861908785977,1.46276182428047,-1.22861908785977,-2.69138091214023,1.46276182428047
"67",25,1,1.96,-1.96,3.92,2.06389856162803,-2.06389856162803,4.12779712325605,2.67495543408161,1.24504456591839,1.42991086816323,-1.24504456591839,-2.67495543408161,1.42991086816323
"68",26,1,1.96,-1.96,3.92,2.0595385527533,-2.0595385527533,4.1190771055066,2.65959046126539,1.26040953873461,1.39918092253077,-1.26040953873461,-2.65959046126539,1.39918092253077
"69",27,1,1.96,-1.96,3.92,2.05552943864287,-2.05552943864287,4.11105887728575,2.64517647954762,1.27482352045238,1.37035295909525,-1.27482352045238,-2.64517647954762,1.37035295909525
"70",28,1,1.96,-1.96,3.92,2.05183051648029,-2.05183051648029,4.10366103296057,2.63161918964223,1.28838081035777,1.34323837928446,-1.28838081035777,-2.63161918964223,1.34323837928446
"71",29,1,1.96,-1.96,3.92,2.04840714179524,-2.04840714179524,4.09681428359049,2.61883689195098,1.30116310804902,1.31767378390196,-1.30116310804902,-2.61883689195098,1.31767378390196
"72",30,1,1.96,-1.96,3.92,2.0452296421327,-2.0452296421327,4.09045928426541,2.60675840072304,1.31324159927696,1.29351680144608,-1.31324159927696,-2.60675840072304,1.29351680144608
"73",31,1,1.96,-1.96,3.92,2.04227245630124,-2.04227245630124,4.08454491260248,2.59532136539885,1.32467863460115,1.2706427307977,-1.32467863460115,-2.59532136539885,1.2706427307977
"74",32,1,1.96,-1.96,3.92,2.03951344639641,-2.03951344639641,4.07902689279282,2.58447090840205,1.33552909159795,1.24894181680409,-1.33552909159795,-2.58447090840205,1.24894181680409
"75",33,1,1.96,-1.96,3.92,2.0369333434601,-2.0369333434601,4.0738666869202,2.57415851120193,1.34584148879807,1.22831702240387,-1.34584148879807,-2.57415851120193,1.22831702240387
"76",34,1,1.96,-1.96,3.92,2.03451529744934,-2.03451529744934,4.06903059489868,2.56434109687538,1.35565890312462,1.20868219375075,-1.35565890312462,-2.56434109687538,1.20868219375075
